"タイトル","夏合宿（2年目）終了"
"","夏合宿終了。いよいよ『菊花賞』へと向かう\nネオユニヴァースを激励するために……。"
"","合宿所近くの鉄板焼屋で、\nささやかな壮行会が開かれた。\n参加メンバーは……。"
"オグリキャップ","ユニヴァース、私は『菊花賞』には\n出ていないが……ひとついいかな？"
"オグリキャップ","いい走りをするコツは……。"
"ネオユニヴァース","“受信”準備――完了。\nそのコツは……？"
"オグリキャップ","食べることだ。この店なら……焼きそば、\n海の幸盛り合わせ、芋煮、なんでもいい。"
"オグリキャップ","とにかく食べて、走って、食べる。\nこれさえやれば、たいてい勝てるから。"
"ネオユニヴァース","観測外……。ネオユニヴァースは\n“ブラックホール”と異なる……。"
"あるトレーナー","あははは……。どのレースでもそれで\n勝てるのは、オグリさんだけだと思うけど。"
"あるトレーナー","自覚してくださいね。あなたは誰もが知る\n常識外のスーパーウマ娘なんですから。"
"オグリキャップ","む、そうかな……。\n難しいものだ。"
"","参加メンバーは、\nオグリキャップと例のトレーナー。\n奇妙な組み合わせだか……。"
"ネオユニヴァース","――“SETO”。"
"選択肢","あ、“SETO”か……"
"ネオユニヴァース","そう。“SETO”は……ひとつ。"
"","言われて納得がいった。\nこれは“SETO”の壮行会。"
"","不思議な緑で知り合った面々が、\n皆、ネオユニヴァースの健闘を祈ってくれた。"
"","こうしてさんざん飲み食いし、\n店の冷蔵庫が空っぽになった後……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは予告するよ。"
"ネオユニヴァース","次の……『菊花賞』……。"
"","必勝宣言だろうか。真剣な目を\nネオユニヴァースに向けると……。"
"ネオユニヴァース","次の『菊花賞』……。"
"ネオユニヴァース","トレーナーは――強く阻まれる。"
"選択肢","強く……阻まれる！？"
"","予想とは異なる言葉。\n阻まれるとは、どういうことだろう？"
"ネオユニヴァース","トレーナーは――因果に阻まれる。\n『日本ダービー』以上。海が立ちはだかる。"
"ネオユニヴァース","それでも『来て』くれると言った。\nでも――"
"ネオユニヴァース","来られなくても。\nあるいは来なくてもいいのかも。"
"ネオユニヴァース","“断絶”が緩衝となって――\n守られるものもあるよ。"
"選択肢","守られる……もの？"
"ネオユニヴァース","そう、このまま一緒に進めば……。"
"ネオユニヴァース","“ABSS”……。\nあの悲しい航路へ。そして――"
"ネオユニヴァース","同じ星系に行き着くだけかも。"
"ネオユニヴァース","そうなるなら、前の“宙域”で\n離れる方が……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n抱いているよ。つまり――"
"ネオユニヴァース","――『怖い』んだ。"
"","『菊花賞』でのトラブル予告。\nそれをハッキリと聞かされて……。"
"","ただ立ちすくむ。\nネオユニヴァースはすがるように、\n突き放すように、見つめるだけだった。"
