"タイトル","ジャパンCにむけて"
"","（ワアアアアアアアアアッ！）"
"ネオユニヴァース","そう、レース場には――『つながり』がある。"
"ネオユニヴァース","あの日、断崖に隔てられて、\n失くしてしまった『つながり』が。"
"ネオユニヴァース","消えてしまった未来。\nそれを今――"
"ネオユニヴァース","1本の“REEN”がつなぐ。"
"ゼンノロブロイ","いきましょう、ユニさん。"
"ネオユニヴァース","かけがえのない“ZEER”。"
"ヒシミラクル","いこいこ、ユニヴァースちゃん！"
"ネオユニヴァース","接してくれる“KELT”。"
"ネオユニヴァース","そして――"
"選択肢","いこう、ユニヴァース"
"ネオユニヴァース","誰より……大切な……。"
"ネオユニヴァース","全てが“在る”ね。この惑星には。\nなら――"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n完成させたいんだ。\nこの『ジャパンカップ』で。"
"ネオユニヴァース","ゼンノロブロイ、ヒシミラクルと――\n未来への“涙滴型の舟”を。"
"選択肢","涙滴型の舟……"
"ネオユニヴァース","そう。“大王”はすでに渦中に入った。\n“特異点”のうねりも聞こえる……。"
"ネオユニヴァース","“涙滴型の舟”は、その2個体を\n制するものと思っていた。でも……。"
"ネオユニヴァース","形が少し――見えなくなった。"
"ネオユニヴァース","なにをする舟か、どこへいく舟か、\n見定めたいんだ。“キャプテン”として。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n“告白”するよ。"
"ネオユニヴァース","『勝ちたいの、2人で』。"
"","その言葉が、本当にその通りの音声で\n発せられたのかはわからない。だが……。"
"","ネオユニヴァースはハッキリ示してくれた。\n勝利への意志を。"
"","ひとつの旅の終着地。\nそれが、この『ジャパンカップ』。"
"","この後の時代をどう進むのか\n決めるために――"
"選択肢","やろう、ユニヴァース"
"ネオユニヴァース","トレーナー……。"
"選択肢","勝とう、2人で"
"ネオユニヴァース","……“ミューテフ”。"
"","言葉を噛み締めるネオユニヴァース。"
"","いよいよ――決戦へのローンチ。"
"ネオユニヴァース","トレーナーに……DSN――送信。"
"ネオユニヴァース","『わたし』を宇宙から見て……戻ってくるね。\n戻って……。だから……。"
"ネオユニヴァース","ネオユニヴァースを……迎えて。"
