"タイトル","福引チャンス！(1等賞)"
"","夕暮れ時。トワイライト色の町を\nネオユニヴァースと歩いていると――"
"ネオユニヴァース","トレーナー……。\n前方に――『ヒト』の渦が。"
"ネオユニヴァース","射出される球状の物体に\n『ワイワイ』している、ね。これは……。"
"","抽象的な言葉だったが、つまりは――"
"商店街の人","さあさ、新春·大福引祭り開催中だよ～！\n特賞はなんと『温泉旅行券』！"
"商店街の人","1等は『特上にんじんハンバーグ』\n2等は『にんじん山盛り』\n3等は『にんじん1本』！"
"商店街の人","さあさ、楽しい楽しい福引だよ！\nそこのアンテナ立ってるウマ娘さん、\nやっていかないかい？"
"ネオユニヴァース","フクビキ……。運勢を定量化して\n『ガラガラボン』だね。"
"ネオユニヴァース","エントリーチケットは――"
"選択肢","ここにある、1枚だけな"
"","貴重な1枚を、商店街のおじさんに渡す。\nこれでもう流れは不可逆だ。"
"ネオユニヴァース","チャンスは1度……。\nネオユニヴァースのエナジーは限定的。\nでも――"
"ネオユニヴァース","“EXAL”たちの意思と、\nトレーナーのチカラを合わせれば……。"
"","ネオユニヴァースがカを集積し、\n抽選器へと誘導。その勢いを受けて、\n2人でレバーを回す！"
"","旋回する銀河。\n弾き出される恒星は――何等星か？"
#分岐開始
"商店街の人","おめでとうございます、1等賞～！\n賞品は『特上にんじんハンバーグ』です！"
"","『特上にんじんハンバーグ』を獲得した"
"ネオユニヴァース","一等星――『特上にんじんハンバーグ』！\nこの形状は……“既知”。"
"選択肢","見たことあるのか？"
"ネオユニヴァース","見てはいないけど、感じたんだ。\nこの形は――"
"ネオユニヴァース","車輪銀河を貫いた槍型銀河……。\n“メジャー·マージャー”に酷似。"
"選択肢","壮大すぎる……"
"","まさかハンバーグの話から、\n銀河衝突の話になるとは思わなかった。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは推奨するよ。\nこのハンバーグは……。"
"ネオユニヴァース","“TRYK”――が最適。"
"選択肢","“TRYK”？"
"ネオユニヴァース","つまり――"
"ネオユニヴァース","『照り焼き』？"
"","その後、ハンバーグは望み通り、“TRYK”に\nしてあげた。心なしか、少し知的な味がした。"
