"タイトル","夏合宿（2年目）スタート！"
"","――夏合宿。多くのウマ娘が特訓にいそしむ、\n強化合宿の期間がやってきた。"
"","ネオユニヴアースは何を思ったのか、\n焼きそばを食べているウマ娘を\nじーっと見つめ――"
"ネオユニヴァース","…………。"
"選択肢","食べたいのか？"
"ネオユニヴァース","ネオユニヴァースは食べられないよ。\nなぜなら――"
"ネオユニヴァース","“前臼歯”が痛むから。"
"選択肢","え、もしかして……虫歯！？"
"","驚いた。ネオユニヴァースが虫歯……。\nそんなものになるイメージが\nまるでなかったか……。"
"選択肢","なら検診に行こう！"
"ネオユニヴァース","検診……。\n“NOST”だと思うけど……。"
"歯医者","はい、『あーん』してください。"
"ネオユニヴァース","“AUHN”？“AUHN”……。"
"歯医者","虫歯は……ひとつもありませんね。\n歯並びも実に綺麗で……。"
"歯医者","少し過敏になっただけかもしれません。\n治療の必要はなさそうです。"
"ネオユニヴァース","“NOST”……。やっばり……。"
"選択肢","どういうことなんだ……"
"","虫歯は一切見当たらず、綺麗な歯並びを\n褒められるだけに終わってしまった。\nでは痛みの原因は……。"
"ネオユニヴァース","“幻肢痛”……。\nファントムペイン、だね。"
"ネオユニヴァース","あるはずのない痛みが\n“想起”されている。"
"選択肢","どういうこと？"
"ネオユニヴァース","この痛みはおさまらない。\nおさまるのは――"
"ネオユニヴァース","刻が過ぎた後。『菊花賞」までには\nおさまるから、それまでは――"
"","さっばりわからない。\nだがネオユニヴァースは理解しているようだ。\nならば……。"
"選択肢","しばらくガマンするしかない？"
"ネオユニヴァース","――アファーマティブ。そう。\nそんなことより、ネオユニヴァースは……。"
"","(ガチャリ)"
"ネオユニヴァース","行きたいんだ。\n夏の扉の……向こうへ。"
"ネオユニヴァース","“RXIL”……。\n“些事”は気にせずに。"
