"タイトル","福引チャンス！(3等賞)"
"","夕暮れ時。トワイライト色の町を\nネオユニヴァースと歩いていると――"
"ネオユニヴァース","トレーナー……。\n前方に――『ヒト』の渦が。"
"ネオユニヴァース","射出される球状の物体に\n『ワイワイ』している、ね。これは……。"
"","抽象的な言葉だったが、つまりは――"
"商店街の人","さあさ、新春·大福引祭り開催中だよ～！\n特賞はなんと『温泉旅行券』！"
"商店街の人","1等は『特上にんじんハンバーグ』\n2等は『にんじん山盛り』\n3等は『にんじん1本』！"
"商店街の人","さあさ、楽しい楽しい福引だよ！\nそこのアンテナ立ってるウマ娘さん、\nやっていかないかい？"
"ネオユニヴァース","フクビキ……。運勢を定量化して\n『ガラガラボン』だね。"
"ネオユニヴァース","エントリーチケットは――"
"選択肢","ここにある、1枚だけな"
"","貴重な1枚を、商店街のおじさんに渡す。\nこれでもう流れは不可逆だ。"
"ネオユニヴァース","チャンスは1度……。\nネオユニヴァースのエナジーは限定的。\nでも――"
"ネオユニヴァース","“EXAL”たちの意思と、\nトレーナーのチカラを合わせれば……。"
"","ネオユニヴァースがカを集積し、\n抽選器へと誘導。その勢いを受けて、\n2人でレバーを回す！"
"","旋回する銀河。\n弾き出される恒星は――何等星か？"
#分岐開始
"商店街の人","3等賞～！\n賞品は『にんじん1本』です！"
"","『にんじん1本』を獲得した"
"ネオユニヴァース","にんじん……1本だけ……。\nこの形状……。"
"ネオユニヴァース","トレーナーは『ロケット』を知っている？"
"選択肢","ああ、知ってるけど"
"ネオユニヴァース","形が――酷似。\nにんじんはロケットに。"
"","言われてみれば、そうだった。\n根菜は形がロケットに似ているものが多い。"
"","もし、本当にロケットをもらえたら――"
"","ネオユニヴァースと2人で\n宇宙旅行にも行けそうだった。"
"ネオユニヴァース","トレーナー、景品には“階層”がある。"
"ネオユニヴァース","特等が『温泉旅行』\n三等が『宇宙旅行』では――均衡が保てない。"
"ネオユニヴァース","ネオユニヴァースたちは宇宙には行けない。\n“SALD”だね……。"
"","落ち込むネオユニヴァース。妄想はやめて\n現実に戻り、にんじんをかじることにした。"
